exchange_id,uptake_limit,row_role
EX_26dap__M_m,0.1,nutrient
EX_2obut_m,0.1,nutrient
EX_4abz_m,0.1,nutrient
EX_4hbz_m,0.1,nutrient
EX_ac_m,0.1,nutrient
EX_acgam_m,0.1,nutrient
EX_acmana_m,0.1,nutrient
EX_acnam_m,0.1,nutrient
EX_ade_m,0.1,nutrient
EX_adn_m,0.1,nutrient
EX_adocbl_m,0.1,nutrient
EX_ala__D_m,0.1,nutrient
EX_ala__L_m,0.1,nutrient
EX_amp_m,0.1,nutrient
EX_arab__D_m,0.1,nutrient
EX_arab__L_m,0.004736842000000001,nutrient
EX_arg__L_m,0.015,nutrient
EX_asn__L_m,0.022500000000000003,nutrient
EX_asp__L_m,0.022500000000000003,nutrient
EX_btn_m,0.1,nutrient
EX_ca2_m,0.1,nutrient
EX_cbl1_m,0.1,nutrient
EX_cd2_m,0.0,pool_closure
EX_cellb_m,0.01973684,nutrient
EX_cgly_m,0.1,nutrient
EX_chol_m,0.1,nutrient
EX_chor_m,0.1,nutrient
EX_cit_m,0.1,nutrient
EX_cl_m,0.1,nutrient
EX_co2_m,0.0,pool_closure
EX_cobalt2_m,0.1,nutrient
EX_cro4_m,0.0,pool_closure
EX_csn_m,0.1,nutrient
EX_cu_m,0.0,pool_closure
EX_cu2_m,0.1,nutrient
EX_cys__L_m,0.1,nutrient
EX_dad_2_m,0.1,nutrient
EX_dcyt_m,0.1,nutrient
EX_ddca_m,0.1,nutrient
EX_dgsn_m,0.1,nutrient
EX_drib_m,0.004736842000000001,nutrient
EX_fald_m,0.1,nutrient
EX_fe2_m,0.1,nutrient
EX_fe3_m,0.1,nutrient
EX_fe3dcit_m,0.1,nutrient
EX_fol_m,0.1,nutrient
EX_for_m,0.1,nutrient
EX_fru_m,0.003947368,nutrient
EX_fuc__L_m,0.003947368,nutrient
EX_fum_m,0.1,nutrient
EX_gal_m,0.003947368,nutrient
EX_gam_m,0.1,nutrient
EX_glc__D_m,0.003947368,nutrient
EX_glcn_m,0.003947368,nutrient
EX_gln__L_m,0.018,nutrient
EX_glu__D_m,0.1,nutrient
EX_glu__L_m,0.018,nutrient
EX_gly_m,0.045000000000000005,nutrient
EX_glyc_m,0.089982743,nutrient
EX_glyc3p_m,0.1,nutrient
EX_gthox_m,0.1,nutrient
EX_gthrd_m,0.1,nutrient
EX_gua_m,0.1,nutrient
EX_h_m,0.1,nutrient
EX_h2_m,0.1,nutrient
EX_h2o_m,10.0,nutrient
EX_h2s_m,0.1,nutrient
EX_hdca_m,0.019818545000000003,nutrient
EX_hdcea_m,0.0018258480000000001,nutrient
EX_his__L_m,0.015,nutrient
EX_hxan_m,0.1,nutrient
EX_ile__L_m,0.015,nutrient
EX_indole_m,0.1,nutrient
EX_k_m,0.1,nutrient
EX_lcts_m,0.001973684,nutrient
EX_leu__L_m,0.015,nutrient
EX_lys__L_m,0.015,nutrient
EX_malt_m,0.001973684,nutrient
EX_man_m,0.003947368,nutrient
EX_melib_m,0.001973684,nutrient
EX_meoh_m,10.0,nutrient
EX_met__L_m,0.018,nutrient
EX_metsox_S__L_m,0.1,nutrient
EX_mg2_m,0.1,nutrient
EX_mn2_m,0.1,nutrient
EX_mnl_m,0.003947368,nutrient
EX_mobd_m,0.1,nutrient
EX_n2_m,0.0,pool_closure
EX_na1_m,0.1,nutrient
EX_nac_m,0.1,nutrient
EX_nh4_m,0.0,pool_closure
EX_ni2_m,0.1,nutrient
EX_nmn_m,0.1,nutrient
EX_o2_m,0.001,nutrient
EX_ocdca_m,0.00846413,nutrient
EX_ocdcea_m,0.034072233,nutrient
EX_octa_m,0.000647136,nutrient
EX_orn_m,0.1,nutrient
EX_oxa_m,0.011842105,nutrient
EX_phe__L_m,0.1,nutrient
EX_pheme_m,0.1,nutrient
EX_pi_m,0.1,nutrient
EX_pnto__R_m,0.1,nutrient
EX_pro__L_m,0.018,nutrient
EX_ptrc_m,0.1,nutrient
EX_pydam_m,0.1,nutrient
EX_pydx_m,0.1,nutrient
EX_pydxn_m,0.1,nutrient
EX_raffin_m,0.10416667,nutrient
EX_rib__D_m,0.004736842000000001,nutrient
EX_ribflv_m,0.1,nutrient
EX_rmn_m,0.003947368,nutrient
EX_sel_m,0.1,nutrient
EX_ser__L_m,0.1,nutrient
EX_slnt_m,0.0,pool_closure
EX_so3_m,0.0,pool_closure
EX_so4_m,0.1,nutrient
EX_spmd_m,0.1,nutrient
EX_sucr_m,0.001973684,nutrient
EX_thm_m,0.1,nutrient
EX_thr__L_m,0.022500000000000003,nutrient
EX_thymd_m,0.1,nutrient
EX_tre_m,0.01973684,nutrient
EX_trp__L_m,0.008181818,nutrient
EX_ttdca_m,0.0034337840000000005,nutrient
EX_tungs_m,0.0,pool_closure
EX_tyr__L_m,0.1,nutrient
EX_ura_m,0.1,nutrient
EX_uri_m,0.1,nutrient
EX_val__L_m,0.018,nutrient
EX_xan_m,0.1,nutrient
EX_xyl__D_m,0.004736842000000001,nutrient
EX_zn2_m,0.1,nutrient
