exchange_id,uptake_limit,row_role
EX_ac_m,0.0,pool_closure
EX_ala__L_m,0.617473828510432,nutrient
EX_arg__L_m,0.32872789356921345,nutrient
EX_ascb__L_m,0.0020612879464075953,nutrient
EX_asp__L_m,0.7298165457116653,nutrient
EX_btn_m,1.268184165563911e-06,nutrient
EX_but_m,0.19597315930124487,nutrient
EX_ca2_m,2.943018424014693,nutrient
EX_cbl1_m,0.0,pool_closure
EX_cd2_m,0.0,pool_closure
EX_cl_m,53.69702874887646,nutrient
EX_co2_m,0.0,pool_closure
EX_cobalt2_m,10.0,nutrient
EX_cro4_m,0.0,pool_closure
EX_cu_m,0.0,pool_closure
EX_cu2_m,0.0014528776225648976,nutrient
EX_cys__L_m,0.09085856536262646,nutrient
EX_dca_m,0.0755628438178114,nutrient
EX_ddca_m,0.0781879552886718,nutrient
EX_etoh_m,7.309941520467837e-07,nutrient
EX_fe2_m,0.0016095746424287355,nutrient
EX_fe3_m,0.0016095746424287355,nutrient
EX_fol_m,8.722259546305775e-07,nutrient
EX_fru_m,0.06720219179626777,nutrient
EX_gal_m,7.309941520467837e-07,nutrient
EX_glc__D_m,0.25414757002422006,nutrient
EX_glu__L_m,1.2557969591738234,nutrient
EX_gly_m,0.5790511047632201,nutrient
EX_h_m,10.0,nutrient
EX_h2_m,10.0,nutrient
EX_h2o_m,1159.370761314225,nutrient
EX_h2s_m,10.0,nutrient
EX_hdca_m,0.9617542301361696,nutrient
EX_hdcea_m,0.12677512142317765,nutrient
EX_his__L_m,0.18844201975855338,nutrient
EX_ile__L_m,0.41245559925886693,nutrient
EX_k_m,0.4136915032859225,nutrient
EX_lcts_m,0.00046128060567988667,nutrient
EX_leu__L_m,0.673664457123661,nutrient
EX_lys__L_m,0.5818414587704409,nutrient
EX_malt_m,7.309941520467837e-07,nutrient
EX_met__L_m,0.19032578169308553,nutrient
EX_mg2_m,1.1424922795227777,nutrient
EX_mn2_m,0.0013252567968856507,nutrient
EX_mnl_m,0.010914445010518933,nutrient
EX_mobd_m,10.0,nutrient
EX_n2_m,0.0,pool_closure
EX_na1_m,2.6389980430613016,nutrient
EX_nac_m,0.0023246645556341747,nutrient
EX_nh4_m,0.0,pool_closure
EX_ni2_m,10.0,nutrient
EX_o2_m,0.001,nutrient
EX_ocdca_m,0.2790443681058458,nutrient
EX_ocdcea_m,1.8357226977426537,nutrient
EX_octa_m,0.042042366527966966,nutrient
EX_phe__L_m,0.274059028879541,nutrient
EX_pi_m,0.13854412796355703,nutrient
EX_pnto__R_m,0.0001641351136673845,nutrient
EX_pro__L_m,0.5904893432525118,nutrient
EX_pydam_m,2.4193516890928436e-05,nutrient
EX_pydx_m,2.448862332026411e-05,nutrient
EX_pydxn_m,2.419683464060877e-05,nutrient
EX_ribflv_m,3.379521321150629e-05,nutrient
EX_sbt__D_m,7.309941520467837e-07,nutrient
EX_sel_m,0.0,pool_closure
EX_ser__L_m,0.5086248192390571,nutrient
EX_slnt_m,0.0,pool_closure
EX_so3_m,0.0,pool_closure
EX_so4_m,10.0,nutrient
EX_sucr_m,0.024772476971697585,nutrient
EX_thm_m,0.013222954981087793,nutrient
EX_thr__L_m,0.3821476783842917,nutrient
EX_trp__L_m,0.05991551145471528,nutrient
EX_ttdca_m,0.2491401351055877,nutrient
EX_ttdcea_m,0.030355380992359723,nutrient
EX_tungs_m,0.0,pool_closure
EX_tyr__L_m,0.20553656867350512,nutrient
EX_urate_m,0.03680445280473107,nutrient
EX_val__L_m,0.5264247650185483,nutrient
EX_zn2_m,0.016536254984355993,nutrient
