exchange_id,uptake_limit
EX_26dap__M_m,0.1
EX_2obut_m,0.1
EX_4abz_m,0.1
EX_4hbz_m,0.1
EX_ac_m,0.1
EX_acgam_m,0.1
EX_acmana_m,0.1
EX_acnam_m,0.1
EX_ade_m,0.1
EX_adn_m,0.1
EX_ala__D_m,0.1
EX_ala__L_m,0.1
EX_amp_m,0.1
EX_arab__D_m,0.1
EX_arab__L_m,0.0178783
EX_arg__L_m,0.015
EX_asn__L_m,0.0225
EX_asp__L_m,0.0225
EX_btn_m,0.0
EX_ca2_m,0.1
EX_cbl1_m,0.0
EX_cd2_m,0.0
EX_cellb_m,0.074493
EX_cgly_m,0.1
EX_chol_m,0.1
EX_chor_m,0.1
EX_cit_m,0.1
EX_cl_m,0.1
EX_co2_m,0.0
EX_cobalt2_m,0.1
EX_cro4_m,0.0
EX_csn_m,0.1
EX_cu_m,0.0
EX_cu2_m,0.1
EX_cys__L_m,0.1
EX_cytd_m,0.1
EX_dad_2_m,0.1
EX_dcyt_m,0.1
EX_ddca_m,0.1
EX_dgsn_m,0.1
EX_drib_m,0.0178783
EX_fald_m,0.1
EX_fe2_m,0.1
EX_fe3_m,0.1
EX_fol_m,0.1
EX_for_m,0.1
EX_fru_m,0.0148986
EX_fuc__L_m,0.0148986
EX_fum_m,0.1
EX_gal_m,0.0148986
EX_gam_m,0.1
EX_glc__D_m,0.0148986
EX_glcn_m,0.0148986
EX_gln__L_m,0.018
EX_glu__L_m,0.018
EX_gly_m,0.045
EX_glyc_m,0.1799655
EX_glyc3p_m,0.1
EX_gsn_m,0.1
EX_gthox_m,0.1
EX_gthrd_m,0.1
EX_gua_m,0.1
EX_h_m,0.1
EX_h2_m,0.1
EX_h2o_m,10.0
EX_h2s_m,0.1
EX_hdca_m,0.0396371
EX_his__L_m,0.015
EX_hxan_m,0.1
EX_ile__L_m,0.015
EX_indole_m,0.1
EX_k_m,0.1
EX_lcts_m,0.0074493
EX_leu__L_m,0.015
EX_lys__L_m,0.015
EX_malt_m,0.0074493
EX_man_m,0.0148986
EX_melib_m,0.0074493
EX_meoh_m,10.0
EX_met__L_m,0.018
EX_mg2_m,0.1
EX_mn2_m,0.1
EX_mnl_m,0.0148986
EX_mobd_m,0.1
EX_n2_m,0.0
EX_na1_m,0.0
EX_nac_m,0.1
EX_nh4_m,0.0
EX_ni2_m,0.1
EX_nmn_m,0.1
EX_no2_m,0.1
EX_o2_m,0.001
EX_ocdca_m,0.0169283
EX_ocdcea_m,0.0681445
EX_orn_m,0.1
EX_oxa_m,0.0446957
EX_phe__L_m,0.1
EX_pheme_m,0.1
EX_pi_m,0.1
EX_pnto__R_m,0.1
EX_pro__L_m,0.018
EX_ptrc_m,0.1
EX_pydam_m,0.1
EX_pydx_m,0.1
EX_pydxn_m,0.1
EX_raffin_m,0.004701945
EX_rib__D_m,0.0178783
EX_ribflv_m,0.1
EX_rmn_m,0.0148986
EX_sel_m,0.0
EX_ser__L_m,0.1
EX_slnt_m,0.0
EX_so3_m,0.0
EX_so4_m,0.1
EX_spmd_m,0.1
EX_starch_m,0.0001
EX_sucr_m,0.0074493
EX_thm_m,0.1
EX_thr__L_m,0.0225
EX_thymd_m,0.1
EX_tre_m,0.074493
EX_trp__L_m,0.008182
EX_ttdca_m,0.0068676
EX_tungs_m,0.0
EX_tyr__L_m,0.1
EX_ura_m,0.1
EX_uri_m,0.1
EX_val__L_m,0.018
EX_xan_m,0.1
EX_xyl__D_m,0.0178783
EX_zn2_m,0.1
