exchange_id,uptake_limit,row_role
EX_ac_m,0.0,pool_closure
EX_ala__L_m,0.00617473828510432,nutrient
EX_arg__L_m,0.0032872789356921343,nutrient
EX_ascb__L_m,2.061287946407595e-05,nutrient
EX_asp__L_m,0.007298165457116653,nutrient
EX_btn_m,1.268184165563911e-08,nutrient
EX_but_m,0.0019597315930124488,nutrient
EX_ca2_m,0.02943018424014693,nutrient
EX_cbl1_m,0.0,pool_closure
EX_cd2_m,0.0,pool_closure
EX_cl_m,0.5369702874887646,nutrient
EX_co2_m,0.0,pool_closure
EX_cobalt2_m,0.1,nutrient
EX_cro4_m,0.0,pool_closure
EX_cu_m,0.0,pool_closure
EX_cu2_m,1.4528776225648977e-05,nutrient
EX_cys__L_m,0.0009085856536262646,nutrient
EX_dca_m,0.0007556284381781141,nutrient
EX_ddca_m,0.000781879552886718,nutrient
EX_etoh_m,7.309941520467837e-09,nutrient
EX_fe2_m,1.6095746424287357e-05,nutrient
EX_fe3_m,1.6095746424287357e-05,nutrient
EX_fol_m,8.722259546305774e-09,nutrient
EX_fru_m,0.0006720219179626776,nutrient
EX_gal_m,7.309941520467837e-09,nutrient
EX_glc__D_m,0.0025414757002422007,nutrient
EX_glu__L_m,0.012557969591738233,nutrient
EX_gly_m,0.005790511047632201,nutrient
EX_h_m,0.1,nutrient
EX_h2_m,0.1,nutrient
EX_h2o_m,11.593707613142252,nutrient
EX_h2s_m,0.1,nutrient
EX_hdca_m,0.009617542301361696,nutrient
EX_hdcea_m,0.0012677512142317765,nutrient
EX_his__L_m,0.0018844201975855338,nutrient
EX_ile__L_m,0.0041245559925886695,nutrient
EX_k_m,0.0041369150328592254,nutrient
EX_lcts_m,4.6128060567988665e-06,nutrient
EX_leu__L_m,0.006736644571236609,nutrient
EX_lys__L_m,0.005818414587704409,nutrient
EX_malt_m,7.309941520467837e-09,nutrient
EX_met__L_m,0.0019032578169308552,nutrient
EX_mg2_m,0.011424922795227777,nutrient
EX_mn2_m,1.3252567968856506e-05,nutrient
EX_mnl_m,0.00010914445010518934,nutrient
EX_mobd_m,0.1,nutrient
EX_n2_m,0.0,pool_closure
EX_na1_m,0.026389980430613018,nutrient
EX_nac_m,2.3246645556341745e-05,nutrient
EX_nh4_m,0.0,pool_closure
EX_ni2_m,0.1,nutrient
EX_o2_m,0.001,nutrient
EX_ocdca_m,0.002790443681058458,nutrient
EX_ocdcea_m,0.018357226977426536,nutrient
EX_octa_m,0.00042042366527966963,nutrient
EX_phe__L_m,0.0027405902887954097,nutrient
EX_pi_m,0.0013854412796355704,nutrient
EX_pnto__R_m,1.6413511366738448e-06,nutrient
EX_pro__L_m,0.005904893432525118,nutrient
EX_pydam_m,2.4193516890928437e-07,nutrient
EX_pydx_m,2.448862332026411e-07,nutrient
EX_pydxn_m,2.419683464060877e-07,nutrient
EX_ribflv_m,3.379521321150629e-07,nutrient
EX_sbt__D_m,7.309941520467837e-09,nutrient
EX_sel_m,0.0,pool_closure
EX_ser__L_m,0.005086248192390571,nutrient
EX_slnt_m,0.0,pool_closure
EX_so3_m,0.0,pool_closure
EX_so4_m,0.1,nutrient
EX_sucr_m,0.00024772476971697587,nutrient
EX_thm_m,0.00013222954981087793,nutrient
EX_thr__L_m,0.003821476783842917,nutrient
EX_trp__L_m,0.0005991551145471528,nutrient
EX_ttdca_m,0.002491401351055877,nutrient
EX_ttdcea_m,0.00030355380992359724,nutrient
EX_tungs_m,0.0,pool_closure
EX_tyr__L_m,0.002055365686735051,nutrient
EX_urate_m,0.00036804452804731067,nutrient
EX_val__L_m,0.005264247650185482,nutrient
EX_zn2_m,0.00016536254984355993,nutrient
