exchange_id,uptake_limit,row_role
EX_ac_m,0.0,pool_closure
EX_ala__L_m,0.004317346316334013,nutrient
EX_arg__L_m,0.002973077978471543,nutrient
EX_ascb__L_m,0.00011066169189806654,nutrient
EX_asp__L_m,0.005859687222356345,nutrient
EX_btn_m,3.503054555411623e-08,nutrient
EX_but_m,5.287498516478992e-06,nutrient
EX_ca2_m,0.024137507883019955,nutrient
EX_cbl1_m,0.0,pool_closure
EX_cd2_m,0.0,pool_closure
EX_cl_m,0.16918495007722076,nutrient
EX_co2_m,0.0,pool_closure
EX_cobalt2_m,0.1,nutrient
EX_cro4_m,0.0,pool_closure
EX_cu_m,0.0,pool_closure
EX_cu2_m,3.459643269884335e-05,nutrient
EX_cys__L_m,0.0010107308736291374,nutrient
EX_dca_m,3.17569852229318e-06,nutrient
EX_ddca_m,7.4452843194613315e-06,nutrient
EX_etoh_m,0.0016660961953293859,nutrient
EX_fe2_m,3.1027491506095324e-05,nutrient
EX_fe3_m,3.1027491506095324e-05,nutrient
EX_fol_m,1.993019085065775e-08,nutrient
EX_fru_m,0.01150053308766959,nutrient
EX_gal_m,7.384767064110306e-05,nutrient
EX_glc__D_m,0.008787353438058188,nutrient
EX_glu__L_m,0.00956253358806199,nutrient
EX_gly_m,0.0044431646062818644,nutrient
EX_h_m,0.1,nutrient
EX_h2_m,0.1,nutrient
EX_h2o_m,13.280068477802413,nutrient
EX_h2s_m,0.1,nutrient
EX_hdca_m,0.002518066031323626,nutrient
EX_hdcea_m,0.00026439946404472296,nutrient
EX_his__L_m,0.0012587473307042838,nutrient
EX_ile__L_m,0.003065223044595592,nutrient
EX_k_m,0.008512264177202924,nutrient
EX_lcts_m,0.0019425935773697371,nutrient
EX_leu__L_m,0.00462850281900378,nutrient
EX_lys__L_m,0.003387921295188019,nutrient
EX_malt_m,5.872785488980037e-05,nutrient
EX_met__L_m,0.0009261660775319591,nutrient
EX_mg2_m,0.02277435514315519,nutrient
EX_mn2_m,0.00012746947905787647,nutrient
EX_mnl_m,0.0019672484598739033,nutrient
EX_mobd_m,0.1,nutrient
EX_n2_m,0.0,pool_closure
EX_na1_m,0.01081227194581484,nutrient
EX_nac_m,3.508249883084277e-05,nutrient
EX_nh4_m,0.0,pool_closure
EX_ni2_m,0.1,nutrient
EX_o2_m,0.001,nutrient
EX_ocdca_m,0.0006888992855509015,nutrient
EX_ocdcea_m,0.009518454785013451,nutrient
EX_octa_m,1.1332174266298392e-06,nutrient
EX_phe__L_m,0.002170901612913509,nutrient
EX_pi_m,0.0016327533782366595,nutrient
EX_pnto__R_m,4.009586348160402e-06,nutrient
EX_pro__L_m,0.0037211015387039474,nutrient
EX_pydam_m,3.65062888800617e-07,nutrient
EX_pydx_m,3.6951583402898533e-07,nutrient
EX_pydxn_m,3.651129512734722e-07,nutrient
EX_ribflv_m,5.040148177233268e-07,nutrient
EX_sbt__D_m,0.0004802596564444737,nutrient
EX_sel_m,0.0,pool_closure
EX_ser__L_m,0.003809571954994233,nutrient
EX_slnt_m,0.0,pool_closure
EX_so3_m,0.0,pool_closure
EX_so4_m,0.1,nutrient
EX_sucr_m,0.010023243160919225,nutrient
EX_thm_m,0.0005289181992435117,nutrient
EX_thr__L_m,0.0027967065541778437,nutrient
EX_trp__L_m,0.0004527040829013509,nutrient
EX_ttdca_m,5.7566315945856e-05,nutrient
EX_ttdcea_m,2.2869203872292253e-06,nutrient
EX_tungs_m,0.0,pool_closure
EX_tyr__L_m,0.0015547057895038598,nutrient
EX_urate_m,0.0004619286906289137,nutrient
EX_val__L_m,0.003726509361590855,nutrient
EX_zn2_m,0.00017894710008425804,nutrient
