preset,exchange_id,uptake_limit,origin,source_value,factor,scale
gut_overlay_agora_western.csv,EX_26dap__M_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_2obut_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_4abz_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_4hbz_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_ac_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_acgam_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_acmana_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_acnam_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_ade_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_adn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_adocbl_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_ala__D_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_ala__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_amp_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_arab__D_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_arab__L_m,0.017878295,agora_table12,0.17878295,0.1,1.0
gut_overlay_agora_western.csv,EX_arg__L_m,0.015,agora_table12,0.15,0.1,1.0
gut_overlay_agora_western.csv,EX_asn__L_m,0.022500000000000003,agora_table12,0.225,0.1,1.0
gut_overlay_agora_western.csv,EX_asp__L_m,0.022500000000000003,agora_table12,0.225,0.1,1.0
gut_overlay_agora_western.csv,EX_btn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_ca2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_cbl1_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_cd2_m,0.0,background_closure,,,1.0
gut_overlay_agora_western.csv,EX_cellb_m,0.07449289,agora_table12,0.07449289,1.0,1.0
gut_overlay_agora_western.csv,EX_cgly_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_chol_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_chor_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_cit_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_cl_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_co2_m,0.0,background_closure,,,1.0
gut_overlay_agora_western.csv,EX_cobalt2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_cro4_m,0.0,background_closure,,,1.0
gut_overlay_agora_western.csv,EX_csn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_cu_m,0.0,background_closure,,,1.0
gut_overlay_agora_western.csv,EX_cu2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_cys__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_dad_2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_dcyt_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_ddca_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_dgsn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_drib_m,0.017878295,agora_table12,0.17878295,0.1,1.0
gut_overlay_agora_western.csv,EX_fald_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_fe2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_fe3_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_fe3dcit_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_fol_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_for_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_fru_m,0.014898579000000002,agora_table12,0.14898579,0.1,1.0
gut_overlay_agora_western.csv,EX_fuc__L_m,0.014898579000000002,agora_table12,0.14898579,0.1,1.0
gut_overlay_agora_western.csv,EX_fum_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_gal_m,0.014898579000000002,agora_table12,0.14898579,0.1,1.0
gut_overlay_agora_western.csv,EX_gam_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_glc__D_m,0.014898579000000002,agora_table12,0.14898579,0.1,1.0
gut_overlay_agora_western.csv,EX_glcn_m,0.014898579000000002,agora_table12,0.14898579,0.1,1.0
gut_overlay_agora_western.csv,EX_gln__L_m,0.018,agora_table12,0.18,0.1,1.0
gut_overlay_agora_western.csv,EX_glu__D_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_glu__L_m,0.018,agora_table12,0.18,0.1,1.0
gut_overlay_agora_western.csv,EX_gly_m,0.045000000000000005,agora_table12,0.45,0.1,1.0
gut_overlay_agora_western.csv,EX_glyc_m,0.179965486,agora_table12,1.79965486,0.1,1.0
gut_overlay_agora_western.csv,EX_glyc3p_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_gthox_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_gthrd_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_gua_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_h_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_h2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_h2o_m,10.0,agora_table12,10.0,1.0,1.0
gut_overlay_agora_western.csv,EX_h2s_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_hdca_m,0.03963709000000001,agora_table12,0.3963709,0.1,1.0
gut_overlay_agora_western.csv,EX_hdcea_m,0.0036516970000000006,agora_table12,0.03651697,0.1,1.0
gut_overlay_agora_western.csv,EX_his__L_m,0.015,agora_table12,0.15,0.1,1.0
gut_overlay_agora_western.csv,EX_hxan_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_ile__L_m,0.015,agora_table12,0.15,0.1,1.0
gut_overlay_agora_western.csv,EX_indole_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_k_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_lcts_m,0.007449289000000001,agora_table12,0.07449289,0.1,1.0
gut_overlay_agora_western.csv,EX_leu__L_m,0.015,agora_table12,0.15,0.1,1.0
gut_overlay_agora_western.csv,EX_lys__L_m,0.015,agora_table12,0.15,0.1,1.0
gut_overlay_agora_western.csv,EX_malt_m,0.007449289000000001,agora_table12,0.07449289,0.1,1.0
gut_overlay_agora_western.csv,EX_man_m,0.014898579000000002,agora_table12,0.14898579,0.1,1.0
gut_overlay_agora_western.csv,EX_melib_m,0.007449289000000001,agora_table12,0.07449289,0.1,1.0
gut_overlay_agora_western.csv,EX_meoh_m,10.0,agora_table12,10.0,1.0,1.0
gut_overlay_agora_western.csv,EX_met__L_m,0.018,agora_table12,0.18,0.1,1.0
gut_overlay_agora_western.csv,EX_metsox_S__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_mg2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_mn2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_mnl_m,0.014898579000000002,agora_table12,0.14898579,0.1,1.0
gut_overlay_agora_western.csv,EX_mobd_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_n2_m,0.0,background_closure,,,1.0
gut_overlay_agora_western.csv,EX_na1_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_nac_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_nh4_m,0.0,background_closure,,,1.0
gut_overlay_agora_western.csv,EX_ni2_m,0.1,assumption_trace_micronutrient,,,1.0
gut_overlay_agora_western.csv,EX_nmn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_o2_m,0.001,micom_anaerobic_o2,,,1.0
gut_overlay_agora_western.csv,EX_ocdca_m,0.01692826,agora_table12,0.1692826,0.1,1.0
gut_overlay_agora_western.csv,EX_ocdcea_m,0.068144465,agora_table12,0.68144465,0.1,1.0
gut_overlay_agora_western.csv,EX_octa_m,0.001294272,agora_table12,0.01294272,0.1,1.0
gut_overlay_agora_western.csv,EX_orn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_oxa_m,0.044695737000000006,agora_table12,0.44695737,0.1,1.0
gut_overlay_agora_western.csv,EX_phe__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_pheme_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_pi_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_pnto__R_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_pro__L_m,0.018,agora_table12,0.18,0.1,1.0
gut_overlay_agora_western.csv,EX_ptrc_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_pydam_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_pydx_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_pydxn_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_raffin_m,0.00470194,agora_table12,0.00470194,1.0,1.0
gut_overlay_agora_western.csv,EX_rib__D_m,0.017878295,agora_table12,0.17878295,0.1,1.0
gut_overlay_agora_western.csv,EX_ribflv_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_rmn_m,0.014898579000000002,agora_table12,0.14898579,0.1,1.0
gut_overlay_agora_western.csv,EX_sel_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_ser__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_slnt_m,0.0,background_closure,,,1.0
gut_overlay_agora_western.csv,EX_so3_m,0.0,background_closure,,,1.0
gut_overlay_agora_western.csv,EX_so4_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_spmd_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_sucr_m,0.007449289000000001,agora_table12,0.07449289,0.1,1.0
gut_overlay_agora_western.csv,EX_thm_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_thr__L_m,0.022500000000000003,agora_table12,0.225,0.1,1.0
gut_overlay_agora_western.csv,EX_thymd_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_tre_m,0.07449289,agora_table12,0.07449289,1.0,1.0
gut_overlay_agora_western.csv,EX_trp__L_m,0.008181818,agora_table12,0.08181818,0.1,1.0
gut_overlay_agora_western.csv,EX_ttdca_m,0.006867567,agora_table12,0.06867567,0.1,1.0
gut_overlay_agora_western.csv,EX_tungs_m,0.0,background_closure,,,1.0
gut_overlay_agora_western.csv,EX_tyr__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_ura_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_uri_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_val__L_m,0.018,agora_table12,0.18,0.1,1.0
gut_overlay_agora_western.csv,EX_xan_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_western.csv,EX_xyl__D_m,0.017878295,agora_table12,0.17878295,0.1,1.0
gut_overlay_agora_western.csv,EX_zn2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_26dap__M_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_2obut_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_4abz_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_4hbz_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ac_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_acgam_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_acmana_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_acnam_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ade_m,0.1,agora_table12,1.0,0.1,1.0
